ID_Pedido,Data_Pedido,Produto,Categoria,UF,Estado,Regiao,Canal_Venda,Status_Pedido,Quantidade,Preco_Unitario,Desconto,Frete,Valor_Total
15,2024-11-27,Sandália Havaianas,Calçados,BA,Bahia,Nordeste,Marketplace,Cancelado,5,54.68,0.08,75.97,251.53
16,2023-06-11,Whey Protein 1kg,Suplementos,RJ,Rio de Janeiro,Sudeste,Marketplace,Devolvido,3,166.64,0.05,30.55,474.92
17,2024-10-02,Panela de Pressão Tramontina,Casa e Cozinha,SP,São Paulo,Sudeste,Marketplace,Entregue,5,197.59,0.08,17.45,908.91
18,2024-06-27,Calça Jeans Masculina,Vestuário,DF,Distrito Federal,Centro-Oeste,Marketplace,Devolvido,5,116.87,0.06,21.31,549.29
19,2023-11-11,Teclado Mecânico,Eletrônicos,SP,São Paulo,Sudeste,Marketplace,Entregue,4,333.31,0.14,71.51,1146.59
20,2024-06-29,Camiseta Básica,Vestuário,SP,São Paulo,Sudeste,Site,Devolvido,1,43.48,0.07,14.84,40.44
21,2023-08-05,Multivitamínico,Suplementos,MG,Minas Gerais,Sudeste,Site,Cancelado,5,80.13,0.08,52.46,368.6
22,2024-06-13,Teclado Mecânico,Eletrônicos,CE,Ceará,Nordeste,Marketplace,Entregue,3,370.31,0.1,36.14,999.84
23,2023-08-14,Panela de Pressão Tramontina,Casa e Cozinha,RJ,Rio de Janeiro,Sudeste,Site,Entregue,1,177.47,0.09,26.11,161.5
24,2024-06-10,Smartphone Samsung Galaxy,Eletrônicos,RJ,Rio de Janeiro,Sudeste,Marketplace,Entregue,2,1126.82,0.0,33.13,2253.64
25,2024-08-13,Camiseta Básica,Vestuário,PR,Paraná,Sul,Marketplace,Cancelado,2,49.14,0.11,71.77,87.47
26,2024-02-25,Panela de Pressão Tramontina,Casa e Cozinha,RS,Rio Grande do Sul,Sul,App Mobile,Cancelado,2,165.89,0.1,34.8,298.6
27,2023-04-22,Panela de Pressão Tramontina,Casa e Cozinha,DF,Distrito Federal,Centro-Oeste,Marketplace,Entregue,1,164.29,0.11,66.04,146.22
28,2023-03-19,Camiseta Básica,Vestuário,RS,Rio Grande do Sul,Sul,Site,Devolvido,4,44.16,0.03,42.38,171.34
29,2023-04-06,Panela de Pressão Tramontina,Casa e Cozinha,PA,Pará,Norte,Marketplace,Entregue,1,192.38,0.08,11.03,176.99
30,2023-03-02,Teclado Mecânico,Eletrônicos,PA,Pará,Norte,Site,Entregue,4,378.75,0.03,38.07,1469.55
31,2024-12-14,Fone Bluetooth JBL,Eletrônicos,BA,Bahia,Nordeste,Site,Cancelado,3,324.38,0.12,29.97,856.36
32,2024-07-09,Whey Protein 1kg,Suplementos,PA,Pará,Norte,Marketplace,Cancelado,2,143.51,0.03,14.09,278.41
33,2023-06-11,Smartphone Samsung Galaxy,Eletrônicos,AM,Amazonas,Norte,App Mobile,Entregue,1,1294.76,0.08,69.69,1191.18
34,2023-05-03,Smartphone Samsung Galaxy,Eletrônicos,CE,Ceará,Nordeste,Site,Entregue,1,1298.29,0.1,26.46,1168.46
35,2024-08-01,Teclado Mecânico,Eletrônicos,GO,Goiás,Centro-Oeste,Site,Devolvido,5,335.29,0.01,56.02,1659.69
36,2023-11-04,Aspirador Philco,Casa e Cozinha,SC,Santa Catarina,Sul,App Mobile,Entregue,3,318.29,0.06,57.02,897.58
37,2024-07-04,Panela de Pressão Tramontina,Casa e Cozinha,SC,Santa Catarina,Sul,Site,Entregue,4,190.9,0.08,17.0,702.51
38,2023-06-11,Camiseta Básica,Vestuário,CE,Ceará,Nordeste,App Mobile,Entregue,3,53.4,0.13,35.87,139.37
39,2024-11-14,Panela de Pressão Tramontina,Casa e Cozinha,DF,Distrito Federal,Centro-Oeste,Marketplace,Entregue,5,208.12,0.12,47.03,915.73
40,2023-06-09,Mouse Gamer Logitech,Eletrônicos,CE,Ceará,Nordeste,App Mobile,Entregue,2,183.13,0.13,61.97,318.65
41,2024-05-15,Calça Jeans Masculina,Vestuário,PR,Paraná,Sul,Marketplace,Entregue,3,117.03,0.1,28.48,315.98
42,2023-05-14,Calça Jeans Masculina,Vestuário,ES,Espírito Santo,Sudeste,Site,Entregue,4,137.35,0.01,33.35,543.91
43,2024-12-08,Livro Clean Code,Livros,PR,Paraná,Sul,Site,Cancelado,5,92.27,0.08,17.83,424.44
44,2023-11-12,Teclado Mecânico,Eletrônicos,MG,Minas Gerais,Sudeste,Marketplace,Entregue,3,388.2,0.02,18.92,1141.31
45,2024-07-27,Tênis Nike Air Max,Calçados,ES,Espírito Santo,Sudeste,Site,Entregue,2,459.13,0.1,34.76,826.43
46,2023-07-01,Teclado Mecânico,Eletrônicos,DF,Distrito Federal,Centro-Oeste,App Mobile,Devolvido,2,421.65,0.04,21.38,809.57
47,2023-09-12,Teclado Mecânico,Eletrônicos,BA,Bahia,Nordeste,Site,Entregue,3,407.68,0.06,56.89,1149.66
48,2024-04-16,Calça Jeans Masculina,Vestuário,MG,Minas Gerais,Sudeste,Marketplace,Entregue,4,138.74,0.13,25.57,482.82
49,2023-03-13,Tênis Nike Air Max,Calçados,PR,Paraná,Sul,Site,Entregue,1,456.65,0.06,29.5,429.25
50,2023-01-29,Multivitamínico,Suplementos,PR,Paraná,Sul,App Mobile,Devolvido,4,91.69,0.13,33.18,319.08
51,2024-03-20,Notebook Dell Inspiron,Eletrônicos,ES,Espírito Santo,Sudeste,App Mobile,Entregue,5,3816.13,0.04,17.59,18317.42
52,2023-07-14,Tênis Nike Air Max,Calçados,AM,Amazonas,Norte,App Mobile,Cancelado,5,493.12,0.02,72.97,2416.29
53,2024-11-17,Calça Jeans Masculina,Vestuário,SP,São Paulo,Sudeste,Marketplace,Cancelado,1,127.3,0.12,58.08,112.02
54,2023-11-04,Camiseta Básica,Vestuário,SC,Santa Catarina,Sul,App Mobile,Entregue,3,50.19,0.1,18.72,135.51
55,2024-03-06,Aspirador Philco,Casa e Cozinha,PR,Paraná,Sul,Marketplace,Cancelado,3,332.61,0.04,18.91,957.92
56,2023-11-08,Livro Clean Code,Livros,BA,Bahia,Nordeste,Marketplace,Entregue,5,89.21,0.06,68.36,419.29
57,2023-08-07,Calça Jeans Masculina,Vestuário,RS,Rio Grande do Sul,Sul,App Mobile,Devolvido,5,131.68,0.07,40.95,612.31
58,2023-04-06,Aspirador Philco,Casa e Cozinha,PE,Pernambuco,Nordeste,Marketplace,Entregue,1,322.24,0.1,53.35,290.02
59,2024-05-01,Mouse Gamer Logitech,Eletrônicos,PA,Pará,Norte,Site,Entregue,2,210.22,0.02,13.23,412.03
60,2024-01-29,Livro Python para Iniciantes,Livros,DF,Distrito Federal,Centro-Oeste,Site,Cancelado,4,85.62,0.09,60.28,311.66
61,2024-03-11,Panela de Pressão Tramontina,Casa e Cozinha,BA,Bahia,Nordeste,Site,Entregue,1,203.79,0.13,71.98,177.3
62,2024-04-12,Camiseta Básica,Vestuário,MG,Minas Gerais,Sudeste,Marketplace,Devolvido,4,43.04,0.04,69.38,165.27
63,2024-09-19,Fone Bluetooth JBL,Eletrônicos,PA,Pará,Norte,App Mobile,Devolvido,5,299.56,0.14,72.4,1288.11
64,2024-04-05,Mouse Gamer Logitech,Eletrônicos,AM,Amazonas,Norte,Marketplace,Cancelado,5,192.2,0.02,70.3,941.78
65,2023-10-20,Calça Jeans Masculina,Vestuário,PA,Pará,Norte,Site,Entregue,5,126.15,0.04,40.79,605.52
66,2023-06-06,Camiseta Básica,Vestuário,PR,Paraná,Sul,App Mobile,Entregue,5,43.42,0.02,36.81,212.76
67,2024-03-06,Whey Protein 1kg,Suplementos,RS,Rio Grande do Sul,Sul,Site,Cancelado,4,149.14,0.07,14.36,554.8
68,2024-02-04,Sandália Havaianas,Calçados,ES,Espírito Santo,Sudeste,Marketplace,Entregue,5,56.61,0.0,34.62,283.05
69,2023-10-07,Mouse Gamer Logitech,Eletrônicos,ES,Espírito Santo,Sudeste,App Mobile,Devolvido,5,209.89,0.13,44.18,913.02
70,2024-04-23,Sandália Havaianas,Calçados,PE,Pernambuco,Nordeste,Site,Cancelado,3,60.93,0.12,60.69,160.86
71,2023-03-27,Teclado Mecânico,Eletrônicos,MG,Minas Gerais,Sudeste,Marketplace,Devolvido,1,419.82,0.09,56.41,382.04
72,2023-12-01,Livro Clean Code,Livros,BA,Bahia,Nordeste,Site,Cancelado,2,77.55,0.06,24.82,145.79
73,2024-07-06,Tênis Nike Air Max,Calçados,PA,Pará,Norte,App Mobile,Entregue,4,410.79,0.01,11.36,1626.73
74,2023-01-21,Smartphone Samsung Galaxy,Eletrônicos,SC,Santa Catarina,Sul,Site,Entregue,1,1350.02,0.14,23.96,1161.02
75,2024-12-17,Livro Python para Iniciantes,Livros,MG,Minas Gerais,Sudeste,Site,Entregue,4,81.29,0.08,25.26,299.15
76,2023-06-17,Calça Jeans Masculina,Vestuário,PA,Pará,Norte,App Mobile,Entregue,5,130.14,0.11,18.02,579.12
77,2023-07-23,Calça Jeans Masculina,Vestuário,RJ,Rio de Janeiro,Sudeste,Marketplace,Entregue,3,129.11,0.14,36.27,333.1
78,2023-05-04,Notebook Dell Inspiron,Eletrônicos,GO,Goiás,Centro-Oeste,Marketplace,Entregue,1,3584.02,0.05,57.9,3404.82
79,2023-12-16,Multivitamínico,Suplementos,GO,Goiás,Centro-Oeste,Site,Entregue,5,86.04,0.06,45.42,404.39
80,2024-04-15,Smartphone Samsung Galaxy,Eletrônicos,DF,Distrito Federal,Centro-Oeste,App Mobile,Cancelado,1,1245.8,0.05,72.41,1183.51
81,2024-07-05,Whey Protein 1kg,Suplementos,MG,Minas Gerais,Sudeste,App Mobile,Entregue,5,174.51,0.04,66.57,837.65
82,2023-03-30,Multivitamínico,Suplementos,PE,Pernambuco,Nordeste,App Mobile,Cancelado,5,82.45,0.13,68.15,358.66
83,2024-05-21,Calça Jeans Masculina,Vestuário,ES,Espírito Santo,Sudeste,App Mobile,Entregue,4,128.92,0.1,33.55,464.11
84,2024-09-02,Mouse Gamer Logitech,Eletrônicos,SC,Santa Catarina,Sul,Site,Cancelado,2,187.65,0.04,29.58,360.29
85,2024-02-21,Whey Protein 1kg,Suplementos,ES,Espírito Santo,Sudeste,App Mobile,Devolvido,1,156.57,0.03,26.89,151.87
86,2024-02-19,Panela de Pressão Tramontina,Casa e Cozinha,CE,Ceará,Nordeste,Site,Cancelado,4,182.69,0.0,30.6,730.76
87,2024-07-17,Whey Protein 1kg,Suplementos,RS,Rio Grande do Sul,Sul,App Mobile,Devolvido,3,154.83,0.08,39.79,427.33
88,2023-11-20,Tênis Nike Air Max,Calçados,SC,Santa Catarina,Sul,Marketplace,Cancelado,3,416.9,0.03,60.49,1213.18
89,2024-06-21,Notebook Dell Inspiron,Eletrônicos,AM,Amazonas,Norte,Marketplace,Entregue,2,3163.43,0.07,60.72,5883.98
90,2024-06-30,Livro Python para Iniciantes,Livros,PR,Paraná,Sul,Site,Entregue,3,72.46,0.03,10.99,210.86
91,2024-05-17,Fone Bluetooth JBL,Eletrônicos,PR,Paraná,Sul,Site,Entregue,5,276.82,0.14,54.65,1190.33
92,2023-02-22,Notebook Dell Inspiron,Eletrônicos,DF,Distrito Federal,Centro-Oeste,Site,Devolvido,3,3384.75,0.07,22.91,9443.45
93,2023-02-24,Calça Jeans Masculina,Vestuário,DF,Distrito Federal,Centro-Oeste,App Mobile,Entregue,1,123.43,0.01,54.06,122.2
94,2024-09-12,Fone Bluetooth JBL,Eletrônicos,MG,Minas Gerais,Sudeste,Marketplace,Entregue,1,329.43,0.02,63.51,322.84
95,2024-08-25,Livro Python para Iniciantes,Livros,PA,Pará,Norte,Marketplace,Entregue,5,75.51,0.14,30.81,324.69
96,2023-08-01,Sandália Havaianas,Calçados,PR,Paraná,Sul,Marketplace,Devolvido,1,60.04,0.11,76.33,53.44
97,2024-02-23,Livro Clean Code,Livros,RS,Rio Grande do Sul,Sul,App Mobile,Entregue,2,81.81,0.08,20.96,150.53
98,2024-04-09,Panela de Pressão Tramontina,Casa e Cozinha,AM,Amazonas,Norte,Marketplace,Cancelado,3,162.96,0.04,29.79,469.32
99,2024-07-11,Notebook Dell Inspiron,Eletrônicos,MT,Mato Grosso,Centro-Oeste,Site,Entregue,5,3552.52,0.14,39.76,15275.84
100,2024-08-05,Camiseta Básica,Vestuário,MT,Mato Grosso,Centro-Oeste,Site,Entregue,2,43.31,0.02,31.53,84.89
101,2024-05-27,Teclado Mecânico,Eletrônicos,PR,Paraná,Sul,App Mobile,Entregue,4,398.54,0.1,75.99,1434.74
102,2023-09-14,Aspirador Philco,Casa e Cozinha,PE,Pernambuco,Nordeste,App Mobile,Entregue,5,300.9,0.06,32.56,1414.23
103,2023-10-03,Smartphone Samsung Galaxy,Eletrônicos,RJ,Rio de Janeiro,Sudeste,Site,Devolvido,5,1413.9,0.15,57.06,6009.07
104,2024-08-22,Livro Python para Iniciantes,Livros,SP,São Paulo,Sudeste,Site,Cancelado,5,80.93,0.14,22.7,348.0
105,2023-06-14,Sandália Havaianas,Calçados,MT,Mato Grosso,Centro-Oeste,App Mobile,Entregue,4,56.13,0.05,56.91,213.29
106,2023-02-07,Tênis Nike Air Max,Calçados,BA,Bahia,Nordeste,Marketplace,Cancelado,3,456.94,0.06,63.23,1288.57
107,2023-01-02,Panela de Pressão Tramontina,Casa e Cozinha,RJ,Rio de Janeiro,Sudeste,App Mobile,Entregue,3,166.92,0.12,70.54,440.67
108,2024-05-25,Livro Clean Code,Livros,DF,Distrito Federal,Centro-Oeste,Marketplace,Cancelado,4,77.63,0.08,53.58,285.68
109,2024-12-16,Livro Clean Code,Livros,PE,Pernambuco,Nordeste,Site,Entregue,3,88.76,0.14,40.67,229.0
110,2024-02-22,Panela de Pressão Tramontina,Casa e Cozinha,RJ,Rio de Janeiro,Sudeste,Site,Devolvido,2,195.11,0.05,10.96,370.71
111,2023-10-26,Notebook Dell Inspiron,Eletrônicos,RS,Rio Grande do Sul,Sul,Site,Cancelado,1,3540.73,0.02,75.29,3469.92
112,2024-01-28,Aspirador Philco,Casa e Cozinha,AM,Amazonas,Norte,App Mobile,Cancelado,4,383.16,0.04,48.59,1471.33
113,2024-02-29,Camiseta Básica,Vestuário,ES,Espírito Santo,Sudeste,Marketplace,Devolvido,2,53.19,0.04,65.3,102.12
114,2024-11-06,Tênis Nike Air Max,Calçados,ES,Espírito Santo,Sudeste,Marketplace,Entregue,1,414.23,0.04,51.09,397.66
115,2024-01-22,Panela de Pressão Tramontina,Casa e Cozinha,DF,Distrito Federal,Centro-Oeste,Site,Cancelado,5,184.41,0.05,63.4,875.95
116,2023-02-14,Panela de Pressão Tramontina,Casa e Cozinha,ES,Espírito Santo,Sudeste,App Mobile,Entregue,2,188.56,0.04,64.29,362.04
117,2023-06-05,Tênis Nike Air Max,Calçados,AM,Amazonas,Norte,App Mobile,Cancelado,4,493.59,0.12,55.64,1737.44
118,2023-04-13,Panela de Pressão Tramontina,Casa e Cozinha,SP,São Paulo,Sudeste,Site,Devolvido,5,177.18,0.02,69.15,868.18
119,2024-04-25,Aspirador Philco,Casa e Cozinha,ES,Espírito Santo,Sudeste,App Mobile,Entregue,2,333.28,0.1,20.81,599.9
120,2024-06-30,Multivitamínico,Suplementos,PR,Paraná,Sul,App Mobile,Devolvido,4,91.02,0.13,69.66,316.75
121,2023-10-22,Sandália Havaianas,Calçados,SC,Santa Catarina,Sul,Marketplace,Cancelado,5,51.45,0.01,54.18,254.68
122,2023-06-20,Camiseta Básica,Vestuário,AM,Amazonas,Norte,Site,Cancelado,1,51.9,0.11,17.04,46.19
123,2023-05-30,Whey Protein 1kg,Suplementos,PR,Paraná,Sul,Site,Entregue,3,167.74,0.04,36.24,483.09
124,2024-09-26,Camiseta Básica,Vestuário,CE,Ceará,Nordeste,App Mobile,Devolvido,2,44.54,0.01,70.96,88.19
125,2024-11-13,Livro Clean Code,Livros,RS,Rio Grande do Sul,Sul,App Mobile,Devolvido,2,81.63,0.1,42.17,146.93
126,2024-08-24,Smartphone Samsung Galaxy,Eletrônicos,ES,Espírito Santo,Sudeste,App Mobile,Entregue,5,1156.25,0.07,34.19,5376.56
127,2024-05-09,Calça Jeans Masculina,Vestuário,MT,Mato Grosso,Centro-Oeste,App Mobile,Entregue,4,137.87,0.03,36.93,534.94
128,2024-11-05,Notebook Dell Inspiron,Eletrônicos,RS,Rio Grande do Sul,Sul,App Mobile,Devolvido,3,3476.97,0.15,30.67,8866.27
129,2023-10-21,Sandália Havaianas,Calçados,PR,Paraná,Sul,Site,Devolvido,1,64.55,0.11,68.3,57.45
130,2024-11-06,Multivitamínico,Suplementos,PA,Pará,Norte,Site,Devolvido,3,81.34,0.03,27.54,236.7
131,2023-05-15,Livro Clean Code,Livros,DF,Distrito Federal,Centro-Oeste,Site,Entregue,1,83.36,0.07,50.57,77.52
132,2024-01-10,Notebook Dell Inspiron,Eletrônicos,ES,Espírito Santo,Sudeste,App Mobile,Entregue,4,3127.79,0.02,47.76,12260.94
133,2023-10-30,Aspirador Philco,Casa e Cozinha,CE,Ceará,Nordeste,App Mobile,Entregue,3,377.37,0.14,77.72,973.61
134,2024-11-23,Whey Protein 1kg,Suplementos,DF,Distrito Federal,Centro-Oeste,App Mobile,Entregue,4,174.41,0.02,77.66,683.69
135,2023-05-07,Whey Protein 1kg,Suplementos,MT,Mato Grosso,Centro-Oeste,App Mobile,Devolvido,3,139.52,0.06,28.51,393.45
136,2024-11-22,Panela de Pressão Tramontina,Casa e Cozinha,SC,Santa Catarina,Sul,Marketplace,Entregue,5,179.5,0.1,36.0,807.75
137,2024-10-12,Camiseta Básica,Vestuário,PE,Pernambuco,Nordeste,Site,Devolvido,5,46.51,0.09,55.34,211.62
138,2024-05-19,Mouse Gamer Logitech,Eletrônicos,PE,Pernambuco,Nordeste,Marketplace,Entregue,4,175.75,0.01,12.6,695.97
139,2024-12-14,Notebook Dell Inspiron,Eletrônicos,RJ,Rio de Janeiro,Sudeste,Site,Devolvido,2,3314.12,0.06,76.46,6230.55
140,2023-10-14,Aspirador Philco,Casa e Cozinha,BA,Bahia,Nordeste,Marketplace,Entregue,4,354.7,0.13,53.1,1234.36
141,2024-12-03,Smartphone Samsung Galaxy,Eletrônicos,AM,Amazonas,Norte,App Mobile,Entregue,4,1249.43,0.04,35.39,4797.81
142,2024-04-10,Tênis Nike Air Max,Calçados,CE,Ceará,Nordeste,Marketplace,Entregue,1,427.2,0.03,18.55,414.38
143,2024-08-01,Notebook Dell Inspiron,Eletrônicos,MT,Mato Grosso,Centro-Oeste,Site,Devolvido,1,3018.39,0.05,79.22,2867.47
144,2023-06-01,Camiseta Básica,Vestuário,RJ,Rio de Janeiro,Sudeste,Marketplace,Entregue,5,45.11,0.13,33.0,196.23
145,2023-09-14,Multivitamínico,Suplementos,ES,Espírito Santo,Sudeste,Marketplace,Entregue,3,95.71,0.02,19.1,281.39
146,2023-11-28,Multivitamínico,Suplementos,MG,Minas Gerais,Sudeste,Site,Entregue,2,76.75,0.12,26.66,135.08
147,2024-05-02,Smartphone Samsung Galaxy,Eletrônicos,MG,Minas Gerais,Sudeste,App Mobile,Entregue,2,1345.95,0.08,62.2,2476.55
148,2023-02-14,Panela de Pressão Tramontina,Casa e Cozinha,PA,Pará,Norte,App Mobile,Devolvido,5,166.59,0.08,76.18,766.31
149,2024-05-05,Whey Protein 1kg,Suplementos,PA,Pará,Norte,Marketplace,Devolvido,3,154.23,0.14,14.26,397.91
150,2023-11-26,Mouse Gamer Logitech,Eletrônicos,BA,Bahia,Nordeste,App Mobile,Entregue,4,205.52,0.07,72.95,764.53
151,2024-01-26,Livro Python para Iniciantes,Livros,MG,Minas Gerais,Sudeste,Site,Entregue,3,80.39,0.09,59.85,219.46
152,2024-11-01,Livro Python para Iniciantes,Livros,CE,Ceará,Nordeste,App Mobile,Cancelado,5,80.01,0.01,59.12,396.05
153,2024-04-09,Livro Clean Code,Livros,ES,Espírito Santo,Sudeste,Marketplace,Entregue,4,86.56,0.03,33.73,335.85
154,2023-06-06,Sandália Havaianas,Calçados,BA,Bahia,Nordeste,Marketplace,Entregue,3,57.31,0.1,36.2,154.74
155,2024-01-17,Livro Clean Code,Livros,ES,Espírito Santo,Sudeste,App Mobile,Entregue,1,95.11,0.01,16.76,94.16
156,2024-02-25,Multivitamínico,Suplementos,MG,Minas Gerais,Sudeste,Marketplace,Entregue,5,97.92,0.08,56.9,450.43
157,2024-08-14,Tênis Nike Air Max,Calçados,DF,Distrito Federal,Centro-Oeste,Marketplace,Cancelado,1,491.34,0.09,34.62,447.12
158,2023-04-28,Aspirador Philco,Casa e Cozinha,RS,Rio Grande do Sul,Sul,Site,Cancelado,2,371.53,0.05,48.94,705.91
159,2024-09-20,Multivitamínico,Suplementos,PR,Paraná,Sul,Marketplace,Entregue,4,95.41,0.15,67.29,324.39
160,2023-07-04,Livro Clean Code,Livros,MT,Mato Grosso,Centro-Oeste,Marketplace,Entregue,5,97.3,0.12,28.72,428.12
161,2024-02-15,Calça Jeans Masculina,Vestuário,AM,Amazonas,Norte,App Mobile,Entregue,3,110.61,0.13,49.64,288.69
162,2023-12-16,Notebook Dell Inspiron,Eletrônicos,MG,Minas Gerais,Sudeste,Marketplace,Entregue,1,3626.81,0.03,39.39,3518.01
163,2024-09-24,Fone Bluetooth JBL,Eletrônicos,SC,Santa Catarina,Sul,App Mobile,Entregue,5,299.62,0.13,20.89,1303.35
164,2023-10-07,Smartphone Samsung Galaxy,Eletrônicos,MT,Mato Grosso,Centro-Oeste,Site,Entregue,4,1320.03,0.07,40.94,4910.51
165,2024-05-13,Camiseta Básica,Vestuário,PA,Pará,Norte,Marketplace,Entregue,3,47.78,0.04,57.49,137.61
166,2023-11-05,Aspirador Philco,Casa e Cozinha,MT,Mato Grosso,Centro-Oeste,App Mobile,Entregue,2,331.99,0.09,10.54,604.22
167,2023-06-29,Camiseta Básica,Vestuário,PA,Pará,Norte,Site,Entregue,3,46.51,0.0,62.29,139.53
168,2024-02-11,Fone Bluetooth JBL,Eletrônicos,BA,Bahia,Nordeste,Marketplace,Entregue,5,296.81,0.1,34.79,1335.64
169,2024-03-15,Mouse Gamer Logitech,Eletrônicos,AM,Amazonas,Norte,Site,Cancelado,1,192.89,0.01,31.91,190.96
170,2024-09-24,Livro Python para Iniciantes,Livros,BA,Bahia,Nordeste,Marketplace,Cancelado,3,70.22,0.0,32.73,210.66
171,2024-02-15,Panela de Pressão Tramontina,Casa e Cozinha,DF,Distrito Federal,Centro-Oeste,Marketplace,Entregue,1,182.15,0.02,40.5,178.51
172,2024-10-10,Aspirador Philco,Casa e Cozinha,RJ,Rio de Janeiro,Sudeste,App Mobile,Entregue,3,316.8,0.12,15.35,836.35
173,2023-06-01,Notebook Dell Inspiron,Eletrônicos,CE,Ceará,Nordeste,Marketplace,Entregue,3,3281.27,0.14,55.18,8465.68
174,2023-03-19,Camiseta Básica,Vestuário,RJ,Rio de Janeiro,Sudeste,Site,Entregue,2,44.58,0.02,63.14,87.38
175,2024-08-01,Fone Bluetooth JBL,Eletrônicos,PA,Pará,Norte,Marketplace,Cancelado,4,311.48,0.11,41.42,1108.87
176,2023-11-07,Livro Clean Code,Livros,MT,Mato Grosso,Centro-Oeste,Marketplace,Entregue,3,79.81,0.01,40.95,237.04
177,2023-02-28,Multivitamínico,Suplementos,PR,Paraná,Sul,Marketplace,Entregue,3,87.82,0.05,41.63,250.29
178,2024-07-21,Tênis Nike Air Max,Calçados,DF,Distrito Federal,Centro-Oeste,App Mobile,Entregue,1,451.59,0.08,42.39,415.46
179,2023-06-04,Multivitamínico,Suplementos,AM,Amazonas,Norte,Site,Cancelado,5,91.07,0.05,43.29,432.58
180,2024-03-24,Smartphone Samsung Galaxy,Eletrônicos,PE,Pernambuco,Nordeste,Site,Entregue,1,1268.88,0.03,27.34,1230.81
181,2023-12-13,Panela de Pressão Tramontina,Casa e Cozinha,CE,Ceará,Nordeste,Marketplace,Devolvido,2,178.69,0.14,37.12,307.35
182,2023-09-16,Livro Clean Code,Livros,GO,Goiás,Centro-Oeste,Site,Entregue,1,83.82,0.08,37.06,77.11
183,2023-12-25,Whey Protein 1kg,Suplementos,DF,Distrito Federal,Centro-Oeste,Marketplace,Devolvido,2,149.24,0.09,19.9,271.62
184,2024-01-21,Calça Jeans Masculina,Vestuário,MT,Mato Grosso,Centro-Oeste,Marketplace,Cancelado,2,129.74,0.14,31.67,223.15
185,2023-01-19,Livro Clean Code,Livros,PA,Pará,Norte,App Mobile,Entregue,5,78.52,0.1,45.59,353.34
186,2023-05-21,Tênis Nike Air Max,Calçados,PR,Paraná,Sul,Site,Entregue,3,489.0,0.07,25.86,1364.31
187,2023-02-08,Fone Bluetooth JBL,Eletrônicos,RJ,Rio de Janeiro,Sudeste,App Mobile,Entregue,5,312.71,0.13,71.86,1360.29
188,2024-10-01,Livro Clean Code,Livros,SC,Santa Catarina,Sul,Marketplace,Entregue,5,84.88,0.02,68.19,415.91
189,2024-03-30,Multivitamínico,Suplementos,ES,Espírito Santo,Sudeste,Site,Cancelado,1,85.65,0.1,26.63,77.09
190,2024-04-25,Livro Python para Iniciantes,Livros,PR,Paraná,Sul,Marketplace,Cancelado,2,78.58,0.05,66.6,149.3
191,2024-01-27,Teclado Mecânico,Eletrônicos,DF,Distrito Federal,Centro-Oeste,Site,Entregue,5,427.37,0.07,29.72,1987.27
192,2024-10-18,Aspirador Philco,Casa e Cozinha,CE,Ceará,Nordeste,App Mobile,Entregue,2,367.51,0.02,27.5,720.32
